,Date,Continents,Country,Gender,Visitors,Visitors Same Period Previous Year,Growth
0,2016-01-01,Oceania,Australia,male,5295,5402,-2.0
1,2016-01-01,Oceania,Australia,female,4414,4379,0.8
4,2016-02-01,Oceania,Australia,male,4239,3972,6.7
5,2016-02-01,Oceania,Australia,female,2807,2785,0.8
8,2016-03-01,Oceania,Australia,male,7022,5728,22.6
9,2016-03-01,Oceania,Australia,female,5914,4347,36.0
12,2016-04-01,Oceania,Australia,male,7326,7379,-0.7
13,2016-04-01,Oceania,Australia,female,6356,6265,1.5
16,2016-05-01,Oceania,Australia,male,6933,6854,1.2
17,2016-05-01,Oceania,Australia,female,5563,5749,-3.2
20,2016-06-01,Oceania,Australia,male,6897,4547,51.7
21,2016-06-01,Oceania,Australia,female,5739,3586,60.0
24,2016-07-01,Oceania,Australia,male,7736,4687,65.1
25,2016-07-01,Oceania,Australia,female,6933,3461,100.3
28,2016-08-01,Oceania,Australia,male,5326,4730,12.6
29,2016-08-01,Oceania,Australia,female,3994,3178,25.7
32,2016-09-01,Oceania,Australia,male,7637,6502,17.5
33,2016-09-01,Oceania,Australia,female,6713,5215,28.7
36,2016-10-01,Oceania,Australia,male,7540,7168,5.2
37,2016-10-01,Oceania,Australia,female,6036,5331,13.2
40,2016-11-01,Oceania,Australia,male,6484,5410,19.9
41,2016-11-01,Oceania,Australia,female,5106,4048,26.1
44,2016-12-01,Oceania,Australia,male,8020,6956,15.3
45,2016-12-01,Oceania,Australia,female,7437,6096,22.0
48,2017-01-01,Oceania,Australia,male,6368,5295,20.3
49,2017-01-01,Oceania,Australia,female,5293,4414,19.9
52,2017-02-01,Oceania,Australia,male,4912,4239,15.9
53,2017-02-01,Oceania,Australia,female,3351,2807,19.4
56,2017-03-01,Oceania,Australia,male,6951,7022,-1.0
57,2017-03-01,Oceania,Australia,female,5547,5914,-6.2
60,2017-04-01,Oceania,Australia,male,9688,7326,32.2
61,2017-04-01,Oceania,Australia,female,9074,6356,42.8
64,2017-05-01,Oceania,Australia,male,6347,6933,-8.5
65,2017-05-01,Oceania,Australia,female,4853,5563,-12.8
68,2017-06-01,Oceania,Australia,male,7100,6897,2.9
69,2017-06-01,Oceania,Australia,female,6070,5739,5.8
72,2017-07-01,Oceania,Australia,male,6395,7736,-17.3
73,2017-07-01,Oceania,Australia,female,5527,6933,-20.3
76,2017-08-01,Oceania,Australia,male,5484,5326,3.0
77,2017-08-01,Oceania,Australia,female,4536,3994,13.6
80,2017-09-01,Oceania,Australia,male,6815,7637,-10.8
81,2017-09-01,Oceania,Australia,female,5884,6713,-12.3
84,2017-10-01,Oceania,Australia,male,6329,7540,-16.1
85,2017-10-01,Oceania,Australia,female,5275,6036,-12.6
88,2017-11-01,Oceania,Australia,male,5198,6484,-19.8
89,2017-11-01,Oceania,Australia,female,4332,5106,-15.2
92,2017-12-01,Oceania,Australia,male,7657,8020,-4.5
93,2017-12-01,Oceania,Australia,female,7056,7437,-5.1
96,2018-01-01,Oceania,Australia,male,6025,6368,-5.4
97,2018-01-01,Oceania,Australia,female,5363,5293,1.3
100,2018-02-01,Oceania,Australia,male,4883,4912,-0.6
101,2018-02-01,Oceania,Australia,female,3613,3351,7.8
104,2018-03-01,Oceania,Australia,male,5757,6951,-17.2
105,2018-03-01,Oceania,Australia,female,4624,5547,-16.6
108,2018-04-01,Oceania,Australia,male,7799,9688,-19.5
109,2018-04-01,Oceania,Australia,female,7404,9074,-18.4
112,2018-05-01,Oceania,Australia,male,6686,6347,5.3
113,2018-05-01,Oceania,Australia,female,5502,4853,13.4
116,2018-06-01,Oceania,Australia,male,6322,7100,-11.0
117,2018-06-01,Oceania,Australia,female,5242,6070,-13.6
120,2018-07-01,Oceania,Australia,male,6087,6395,-4.8
121,2018-07-01,Oceania,Australia,female,5130,5527,-7.2
124,2018-08-01,Oceania,Australia,male,6098,5484,11.2
125,2018-08-01,Oceania,Australia,female,5195,4536,14.5
128,2018-09-01,Oceania,Australia,male,7827,6815,14.8
129,2018-09-01,Oceania,Australia,female,7216,5884,22.6
132,2018-10-01,Oceania,Australia,male,7738,6329,22.3
133,2018-10-01,Oceania,Australia,female,6707,5275,27.1
136,2018-11-01,Oceania,Australia,male,6094,5198,17.2
137,2018-11-01,Oceania,Australia,female,5374,4332,24.1
140,2018-12-01,Oceania,Australia,male,8617,7657,12.5
141,2018-12-01,Oceania,Australia,female,8267,7056,17.2
144,2019-01-01,Oceania,Australia,male,7126,6025,18.3
145,2019-01-01,Oceania,Australia,female,6863,5363,28.0
148,2019-02-01,Oceania,Australia,male,4504,4883,-7.8
149,2019-02-01,Oceania,Australia,female,3512,3613,-2.8
152,2019-03-01,Oceania,Australia,male,6337,5757,10.1
153,2019-03-01,Oceania,Australia,female,5602,4624,21.2
156,2019-04-01,Oceania,Australia,male,9697,7799,24.3
157,2019-04-01,Oceania,Australia,female,9901,7404,33.7
160,2019-05-01,Oceania,Australia,male,7049,6686,5.4
161,2019-05-01,Oceania,Australia,female,6195,5502,12.6
164,2019-06-01,Oceania,Australia,male,6796,6322,7.5
165,2019-06-01,Oceania,Australia,female,6132,5242,17.0
168,2019-07-01,Oceania,Australia,male,6091,6087,0.1
169,2019-07-01,Oceania,Australia,female,5451,5130,6.3
172,2019-08-01,Oceania,Australia,male,6992,6098,14.7
173,2019-08-01,Oceania,Australia,female,6299,5195,21.3
176,2019-09-01,Oceania,Australia,male,8830,7827,12.8
177,2019-09-01,Oceania,Australia,female,8103,7216,12.3
180,2019-10-01,Oceania,Australia,male,8068,7738,4.3
181,2019-10-01,Oceania,Australia,female,7411,6707,10.5
184,2019-11-01,Oceania,Australia,male,6666,6094,9.4
185,2019-11-01,Oceania,Australia,female,6141,5374,14.3
188,2019-12-01,Oceania,Australia,male,9626,8617,11.7
189,2019-12-01,Oceania,Australia,female,9348,8267,13.1
192,2020-01-01,Oceania,Australia,male,6937,7126,-2.7
193,2020-01-01,Oceania,Australia,female,6651,6863,-3.1
196,2020-02-01,Oceania,Australia,male,3622,4504,-19.6
197,2020-02-01,Oceania,Australia,female,2853,3512,-18.8
200,2020-03-01,Oceania,Australia,male,341,6337,-94.6
201,2020-03-01,Oceania,Australia,female,302,5602,-94.6
204,2020-04-01,Oceania,Australia,male,44,9697,-99.5
205,2020-04-01,Oceania,Australia,female,41,9901,-99.6
208,2020-05-01,Oceania,Australia,male,40,7049,-99.4
209,2020-05-01,Oceania,Australia,female,53,6195,-99.1
212,2020-06-01,Oceania,Australia,male,28,6796,-99.6
213,2020-06-01,Oceania,Australia,female,33,6132,-99.5
216,2020-07-01,Oceania,Australia,male,90,6091,-98.5
217,2020-07-01,Oceania,Australia,female,74,5451,-98.6
220,2020-08-01,Oceania,Australia,male,59,6992,-99.2
221,2020-08-01,Oceania,Australia,female,50,6299,-99.2
224,2020-09-01,Oceania,Australia,male,51,8830,-99.4
225,2020-09-01,Oceania,Australia,female,42,8103,-99.5
228,2020-10-01,Oceania,Australia,male,69,8068,-99.1
229,2020-10-01,Oceania,Australia,female,45,7411,-99.4
232,2020-11-01,Oceania,Australia,male,92,6666,-98.6
233,2020-11-01,Oceania,Australia,female,60,6141,-99.0
236,2020-12-01,Oceania,Australia,male,67,9626,-99.3
237,2020-12-01,Oceania,Australia,female,57,9348,-99.4
240,2021-01-01,Oceania,Australia,male,73,6937,-98.9
241,2021-01-01,Oceania,Australia,female,45,6651,-99.3
244,2021-02-01,Oceania,Australia,male,55,3622,-98.5
245,2021-02-01,Oceania,Australia,female,62,2853,-97.8
248,2021-03-01,Oceania,Australia,male,49,341,-85.6
249,2021-03-01,Oceania,Australia,female,50,302,-83.4
252,2021-04-01,Oceania,Australia,male,59,44,34.1
253,2021-04-01,Oceania,Australia,female,51,41,24.4
256,2021-05-01,Oceania,Australia,male,60,40,50.0
257,2021-05-01,Oceania,Australia,female,44,53,-17.0
260,2021-06-01,Oceania,Australia,male,68,28,142.9
261,2021-06-01,Oceania,Australia,female,55,33,66.7
264,2021-07-01,Oceania,Australia,male,87,90,-3.3
265,2021-07-01,Oceania,Australia,female,80,74,8.1
268,2021-08-01,Oceania,Australia,male,104,59,76.3
269,2021-08-01,Oceania,Australia,female,89,50,78.0
272,2021-09-01,Oceania,Australia,male,89,51,74.5
273,2021-09-01,Oceania,Australia,female,70,42,66.7
276,2021-10-01,Oceania,Australia,male,137,69,98.6
277,2021-10-01,Oceania,Australia,female,89,45,97.8
280,2021-11-01,Oceania,Australia,male,297,92,222.8
281,2021-11-01,Oceania,Australia,female,228,60,280.0
284,2021-12-01,Oceania,Australia,male,304,67,353.7
285,2021-12-01,Oceania,Australia,female,304,57,433.3
288,2022-01-01,Oceania,Australia,male,294,73,302.7
289,2022-01-01,Oceania,Australia,female,228,45,406.7
292,2022-02-01,Oceania,Australia,male,289,55,425.5
293,2022-02-01,Oceania,Australia,female,278,62,348.4
296,2022-03-01,Oceania,Australia,male,367,49,649.0
297,2022-03-01,Oceania,Australia,female,304,50,508.0
300,2022-04-01,Oceania,Australia,male,1327,59,2149.2
301,2022-04-01,Oceania,Australia,female,1086,51,2029.4
304,2022-05-01,Oceania,Australia,male,1935,60,3125.0
305,2022-05-01,Oceania,Australia,female,1564,44,3454.5
308,2022-06-01,Oceania,Australia,male,2143,68,3051.5
309,2022-06-01,Oceania,Australia,female,1706,55,3001.8
312,2022-07-01,Oceania,Australia,male,2399,87,2657.5
313,2022-07-01,Oceania,Australia,female,1903,80,2278.8
316,2022-08-01,Oceania,Australia,male,2586,104,2386.5
317,2022-08-01,Oceania,Australia,female,2108,89,2268.5
320,2022-09-01,Oceania,Australia,male,4147,89,4559.6
321,2022-09-01,Oceania,Australia,female,3874,70,5434.3
324,2022-10-01,Oceania,Australia,male,4516,137,3196.4
325,2022-10-01,Oceania,Australia,female,4157,89,4570.8
328,2022-11-01,Oceania,Australia,male,4891,297,1546.8
329,2022-11-01,Oceania,Australia,female,4599,228,1917.1
332,2022-12-01,Oceania,Australia,male,8354,304,2648.0
333,2022-12-01,Oceania,Australia,female,8195,304,2595.7
336,2023-01-01,Oceania,Australia,male,6231,294,2019.4
337,2023-01-01,Oceania,Australia,female,5912,228,2493.0
340,2023-02-01,Oceania,Australia,male,3972,289,1274.4
341,2023-02-01,Oceania,Australia,female,3483,278,1152.9
344,2023-03-01,Oceania,Australia,male,6702,367,1726.2
345,2023-03-01,Oceania,Australia,female,6938,304,2182.2
348,2023-04-01,Oceania,Australia,male,9924,1327,647.9
349,2023-04-01,Oceania,Australia,female,10781,1086,892.7
352,2023-05-01,Oceania,Australia,male,7572,1935,291.3
353,2023-05-01,Oceania,Australia,female,7402,1564,373.3
356,2023-06-01,Oceania,Australia,male,8048,2143,275.5
357,2023-06-01,Oceania,Australia,female,8441,1706,394.8
360,2023-07-01,Oceania,Australia,male,7112,2399,196.5
361,2023-07-01,Oceania,Australia,female,6758,1903,255.1
364,2023-08-01,Oceania,Australia,male,5975,2586,131.1
365,2023-08-01,Oceania,Australia,female,5725,2108,171.6
368,2016-01-01,Europe,Austria,male,443,458,-3.3
369,2016-01-01,Europe,Austria,female,141,129,9.3
372,2016-02-01,Europe,Austria,male,531,400,32.8
373,2016-02-01,Europe,Austria,female,169,136,24.3
376,2016-03-01,Europe,Austria,male,621,563,10.3
377,2016-03-01,Europe,Austria,female,203,174,16.7
380,2016-04-01,Europe,Austria,male,653,528,23.7
381,2016-04-01,Europe,Austria,female,182,194,-6.2
384,2016-05-01,Europe,Austria,male,539,515,4.7
385,2016-05-01,Europe,Austria,female,174,180,-3.3
388,2016-06-01,Europe,Austria,male,591,441,34.0
389,2016-06-01,Europe,Austria,female,198,121,63.6
392,2016-07-01,Europe,Austria,male,628,487,29.0
393,2016-07-01,Europe,Austria,female,300,216,38.9
396,2016-08-01,Europe,Austria,male,608,462,31.6
397,2016-08-01,Europe,Austria,female,284,233,21.9
400,2016-09-01,Europe,Austria,male,611,589,3.7
401,2016-09-01,Europe,Austria,female,235,178,32.0
404,2016-10-01,Europe,Austria,male,780,857,-9.0
405,2016-10-01,Europe,Austria,female,252,250,0.8
408,2016-11-01,Europe,Austria,male,683,632,8.1
409,2016-11-01,Europe,Austria,female,179,167,7.2
412,2016-12-01,Europe,Austria,male,383,323,18.6
413,2016-12-01,Europe,Austria,female,124,116,6.9
416,2017-01-01,Europe,Austria,male,452,443,2.0
417,2017-01-01,Europe,Austria,female,140,141,-0.7
420,2017-02-01,Europe,Austria,male,679,531,27.9
421,2017-02-01,Europe,Austria,female,175,169,3.6
424,2017-03-01,Europe,Austria,male,671,621,8.1
425,2017-03-01,Europe,Austria,female,163,203,-19.7
428,2017-04-01,Europe,Austria,male,632,653,-3.2
429,2017-04-01,Europe,Austria,female,310,182,70.3
432,2017-05-01,Europe,Austria,male,560,539,3.9
433,2017-05-01,Europe,Austria,female,180,174,3.4
436,2017-06-01,Europe,Austria,male,513,591,-13.2
437,2017-06-01,Europe,Austria,female,173,198,-12.6
440,2017-07-01,Europe,Austria,male,587,628,-6.5
441,2017-07-01,Europe,Austria,female,321,300,7.0
444,2017-08-01,Europe,Austria,male,565,608,-7.1
445,2017-08-01,Europe,Austria,female,320,284,12.7
448,2017-09-01,Europe,Austria,male,653,611,6.9
449,2017-09-01,Europe,Austria,female,275,235,17.0
452,2017-10-01,Europe,Austria,male,717,780,-8.1
453,2017-10-01,Europe,Austria,female,242,252,-4.0
456,2017-11-01,Europe,Austria,male,675,683,-1.2
457,2017-11-01,Europe,Austria,female,207,179,15.6
460,2017-12-01,Europe,Austria,male,409,383,6.8
461,2017-12-01,Europe,Austria,female,149,124,20.2
464,2018-01-01,Europe,Austria,male,557,452,23.2
465,2018-01-01,Europe,Austria,female,135,140,-3.6
468,2018-02-01,Europe,Austria,male,1267,679,86.6
469,2018-02-01,Europe,Austria,female,352,175,101.1
472,2018-03-01,Europe,Austria,male,704,671,4.9
473,2018-03-01,Europe,Austria,female,268,163,64.4
476,2018-04-01,Europe,Austria,male,687,632,8.7
477,2018-04-01,Europe,Austria,female,283,310,-8.7
480,2018-05-01,Europe,Austria,male,595,560,6.2
481,2018-05-01,Europe,Austria,female,263,180,46.1
484,2018-06-01,Europe,Austria,male,520,513,1.4
485,2018-06-01,Europe,Austria,female,210,173,21.4
488,2018-07-01,Europe,Austria,male,642,587,9.4
489,2018-07-01,Europe,Austria,female,345,321,7.5
492,2018-08-01,Europe,Austria,male,603,565,6.7
493,2018-08-01,Europe,Austria,female,371,320,15.9
496,2018-09-01,Europe,Austria,male,656,653,0.5
497,2018-09-01,Europe,Austria,female,347,275,26.2
500,2018-10-01,Europe,Austria,male,805,717,12.3
501,2018-10-01,Europe,Austria,female,381,242,57.4
504,2018-11-01,Europe,Austria,male,740,675,9.6
505,2018-11-01,Europe,Austria,female,192,207,-7.2
508,2018-12-01,Europe,Austria,male,367,409,-10.3
509,2018-12-01,Europe,Austria,female,160,149,7.4
512,2019-01-01,Europe,Austria,male,480,557,-13.8
513,2019-01-01,Europe,Austria,female,169,135,25.2
516,2019-02-01,Europe,Austria,male,446,1267,-64.8
517,2019-02-01,Europe,Austria,female,206,352,-41.5
520,2019-03-01,Europe,Austria,male,597,704,-15.2
521,2019-03-01,Europe,Austria,female,205,268,-23.5
524,2019-04-01,Europe,Austria,male,636,687,-7.4
525,2019-04-01,Europe,Austria,female,350,283,23.7
528,2019-05-01,Europe,Austria,male,614,595,3.2
529,2019-05-01,Europe,Austria,female,257,263,-2.3
532,2019-06-01,Europe,Austria,male,542,520,4.2
533,2019-06-01,Europe,Austria,female,247,210,17.6
536,2019-07-01,Europe,Austria,male,654,642,1.9
537,2019-07-01,Europe,Austria,female,411,345,19.1
540,2019-08-01,Europe,Austria,male,654,603,8.5
541,2019-08-01,Europe,Austria,female,441,371,18.9
544,2019-09-01,Europe,Austria,male,785,656,19.7
545,2019-09-01,Europe,Austria,female,463,347,33.4
548,2019-10-01,Europe,Austria,male,889,805,10.4
549,2019-10-01,Europe,Austria,female,446,381,17.1
552,2019-11-01,Europe,Austria,male,734,740,-0.8
553,2019-11-01,Europe,Austria,female,252,192,31.2
556,2019-12-01,Europe,Austria,male,457,367,24.5
557,2019-12-01,Europe,Austria,female,213,160,33.1
560,2020-01-01,Europe,Austria,male,403,480,-16.0
561,2020-01-01,Europe,Austria,female,151,169,-10.7
564,2020-02-01,Europe,Austria,male,377,446,-15.5
565,2020-02-01,Europe,Austria,female,187,206,-9.2
568,2020-03-01,Europe,Austria,male,26,597,-95.6
569,2020-03-01,Europe,Austria,female,25,205,-87.8
572,2020-04-01,Europe,Austria,male,2,636,-99.7
573,2020-04-01,Europe,Austria,female,0,350,-100.0
576,2020-05-01,Europe,Austria,male,12,614,-98.0
577,2020-05-01,Europe,Austria,female,1,257,-99.6
580,2020-06-01,Europe,Austria,male,21,542,-96.1
581,2020-06-01,Europe,Austria,female,1,247,-99.6
584,2020-07-01,Europe,Austria,male,32,654,-95.1
585,2020-07-01,Europe,Austria,female,1,411,-99.8
588,2020-08-01,Europe,Austria,male,62,654,-90.5
589,2020-08-01,Europe,Austria,female,25,441,-94.3
592,2020-09-01,Europe,Austria,male,32,785,-95.9
593,2020-09-01,Europe,Austria,female,2,463,-99.6
596,2020-10-01,Europe,Austria,male,52,889,-94.2
597,2020-10-01,Europe,Austria,female,2,446,-99.6
600,2020-11-01,Europe,Austria,male,50,734,-93.2
601,2020-11-01,Europe,Austria,female,4,252,-98.4
604,2020-12-01,Europe,Austria,male,14,457,-96.9
605,2020-12-01,Europe,Austria,female,7,213,-96.7
608,2021-01-01,Europe,Austria,male,27,403,-93.3
609,2021-01-01,Europe,Austria,female,9,151,-94.0
612,2021-02-01,Europe,Austria,male,30,377,-92.0
613,2021-02-01,Europe,Austria,female,24,187,-87.2
616,2021-03-01,Europe,Austria,male,31,26,19.2
617,2021-03-01,Europe,Austria,female,10,25,-60.0
620,2021-04-01,Europe,Austria,male,27,2,1250.0
621,2021-04-01,Europe,Austria,female,4,0,0.0
624,2021-05-01,Europe,Austria,male,35,12,191.7
625,2021-05-01,Europe,Austria,female,5,1,400.0
628,2021-06-01,Europe,Austria,male,31,21,47.6
629,2021-06-01,Europe,Austria,female,10,1,900.0
632,2021-07-01,Europe,Austria,male,49,32,53.1
633,2021-07-01,Europe,Austria,female,23,1,2200.0
636,2021-08-01,Europe,Austria,male,94,62,51.6
637,2021-08-01,Europe,Austria,female,62,25,148.0
640,2021-09-01,Europe,Austria,male,96,32,200.0
641,2021-09-01,Europe,Austria,female,24,2,1100.0
644,2021-10-01,Europe,Austria,male,122,52,134.6
645,2021-10-01,Europe,Austria,female,30,2,1400.0
648,2021-11-01,Europe,Austria,male,185,50,270.0
649,2021-11-01,Europe,Austria,female,36,4,800.0
652,2021-12-01,Europe,Austria,male,33,14,135.7
653,2021-12-01,Europe,Austria,female,12,7,71.4
656,2022-01-01,Europe,Austria,male,42,27,55.6
657,2022-01-01,Europe,Austria,female,17,9,88.9
660,2022-02-01,Europe,Austria,male,78,30,160.0
661,2022-02-01,Europe,Austria,female,62,24,158.3
664,2022-03-01,Europe,Austria,male,64,31,106.5
665,2022-03-01,Europe,Austria,female,19,10,90.0
668,2022-04-01,Europe,Austria,male,153,27,466.7
669,2022-04-01,Europe,Austria,female,90,4,2150.0
672,2022-05-01,Europe,Austria,male,325,35,828.6
673,2022-05-01,Europe,Austria,female,110,5,2100.0
676,2022-06-01,Europe,Austria,male,222,31,616.1
677,2022-06-01,Europe,Austria,female,112,10,1020.0
680,2022-07-01,Europe,Austria,male,332,49,577.6
681,2022-07-01,Europe,Austria,female,270,23,1073.9
684,2022-08-01,Europe,Austria,male,419,94,345.7
685,2022-08-01,Europe,Austria,female,351,62,466.1
688,2022-09-01,Europe,Austria,male,393,96,309.4
689,2022-09-01,Europe,Austria,female,307,24,1179.2
692,2022-10-01,Europe,Austria,male,504,122,313.1
693,2022-10-01,Europe,Austria,female,324,30,980.0
696,2022-11-01,Europe,Austria,male,465,185,151.4
697,2022-11-01,Europe,Austria,female,162,36,350.0
700,2022-12-01,Europe,Austria,male,264,33,700.0
701,2022-12-01,Europe,Austria,female,161,12,1241.7
704,2023-01-01,Europe,Austria,male,263,42,526.2
705,2023-01-01,Europe,Austria,female,123,17,623.5
708,2023-02-01,Europe,Austria,male,322,78,312.8
709,2023-02-01,Europe,Austria,female,222,62,258.1
712,2023-03-01,Europe,Austria,male,621,64,870.3
713,2023-03-01,Europe,Austria,female,417,19,2094.7
716,2023-04-01,Europe,Austria,male,725,153,373.9
717,2023-04-01,Europe,Austria,female,606,90,573.3
720,2023-05-01,Europe,Austria,male,568,325,74.8
721,2023-05-01,Europe,Austria,female,385,110,250.0
724,2023-06-01,Europe,Austria,male,519,222,133.8
725,2023-06-01,Europe,Austria,female,281,112,150.9
728,2023-07-01,Europe,Austria,male,910,332,174.1
729,2023-07-01,Europe,Austria,female,772,270,185.9
732,2023-08-01,Europe,Austria,male,653,419,55.8
733,2023-08-01,Europe,Austria,female,600,351,70.9
736,2016-01-01,Asia,Bangladesh,male,726,534,36.0
737,2016-01-01,Asia,Bangladesh,female,64,43,48.8
740,2016-02-01,Asia,Bangladesh,male,714,622,14.8
741,2016-02-01,Asia,Bangladesh,female,104,75,38.7
744,2016-03-01,Asia,Bangladesh,male,844,748,12.8
745,2016-03-01,Asia,Bangladesh,female,46,66,-30.3
748,2016-04-01,Asia,Bangladesh,male,889,860,3.4
749,2016-04-01,Asia,Bangladesh,female,69,76,-9.2
752,2016-05-01,Asia,Bangladesh,male,1321,775,70.5
753,2016-05-01,Asia,Bangladesh,female,152,65,133.8
756,2016-06-01,Asia,Bangladesh,male,811,626,29.6
757,2016-06-01,Asia,Bangladesh,female,114,59,93.2
760,2016-07-01,Asia,Bangladesh,male,724,638,13.5
761,2016-07-01,Asia,Bangladesh,female,107,74,44.6
764,2016-08-01,Asia,Bangladesh,male,1040,811,28.2
765,2016-08-01,Asia,Bangladesh,female,121,99,22.2
768,2016-09-01,Asia,Bangladesh,male,930,756,23.0
769,2016-09-01,Asia,Bangladesh,female,96,82,17.1
772,2016-10-01,Asia,Bangladesh,male,980,956,2.5
773,2016-10-01,Asia,Bangladesh,female,97,125,-22.4
776,2016-11-01,Asia,Bangladesh,male,770,917,-16.0
777,2016-11-01,Asia,Bangladesh,female,64,93,-31.2
780,2016-12-01,Asia,Bangladesh,male,641,837,-23.4
781,2016-12-01,Asia,Bangladesh,female,52,57,-8.8
784,2017-01-01,Asia,Bangladesh,male,600,726,-17.4
785,2017-01-01,Asia,Bangladesh,female,55,64,-14.1
788,2017-02-01,Asia,Bangladesh,male,898,714,25.8
789,2017-02-01,Asia,Bangladesh,female,120,104,15.4
792,2017-03-01,Asia,Bangladesh,male,1060,844,25.6
793,2017-03-01,Asia,Bangladesh,female,87,46,89.1
796,2017-04-01,Asia,Bangladesh,male,943,889,6.1
797,2017-04-01,Asia,Bangladesh,female,69,69,0.0
800,2017-05-01,Asia,Bangladesh,male,806,1321,-39.0
801,2017-05-01,Asia,Bangladesh,female,83,152,-45.4
804,2017-06-01,Asia,Bangladesh,male,671,811,-17.3
805,2017-06-01,Asia,Bangladesh,female,90,114,-21.1
808,2017-07-01,Asia,Bangladesh,male,924,724,27.6
809,2017-07-01,Asia,Bangladesh,female,161,107,50.5
812,2017-08-01,Asia,Bangladesh,male,988,1040,-5.0
813,2017-08-01,Asia,Bangladesh,female,124,121,2.5
816,2017-09-01,Asia,Bangladesh,male,1158,930,24.5
817,2017-09-01,Asia,Bangladesh,female,136,96,41.7
820,2017-10-01,Asia,Bangladesh,male,1301,980,32.8
821,2017-10-01,Asia,Bangladesh,female,107,97,10.3
824,2017-11-01,Asia,Bangladesh,male,820,770,6.5
825,2017-11-01,Asia,Bangladesh,female,64,64,0.0
828,2017-12-01,Asia,Bangladesh,male,1046,641,63.2
829,2017-12-01,Asia,Bangladesh,female,83,52,59.6
832,2018-01-01,Asia,Bangladesh,male,909,600,51.5
833,2018-01-01,Asia,Bangladesh,female,104,55,89.1
836,2018-02-01,Asia,Bangladesh,male,991,898,10.4
837,2018-02-01,Asia,Bangladesh,female,123,120,2.5
840,2018-03-01,Asia,Bangladesh,male,1227,1060,15.8
841,2018-03-01,Asia,Bangladesh,female,97,87,11.5
844,2018-04-01,Asia,Bangladesh,male,994,943,5.4
845,2018-04-01,Asia,Bangladesh,female,119,69,72.5
848,2018-05-01,Asia,Bangladesh,male,855,806,6.1
849,2018-05-01,Asia,Bangladesh,female,125,83,50.6
852,2018-06-01,Asia,Bangladesh,male,958,671,42.8
853,2018-06-01,Asia,Bangladesh,female,113,90,25.6
856,2018-07-01,Asia,Bangladesh,male,957,924,3.6
857,2018-07-01,Asia,Bangladesh,female,171,161,6.2
860,2018-08-01,Asia,Bangladesh,male,1067,988,8.0
861,2018-08-01,Asia,Bangladesh,female,155,124,25.0
864,2018-09-01,Asia,Bangladesh,male,1289,1158,11.3
865,2018-09-01,Asia,Bangladesh,female,137,136,0.7
868,2018-10-01,Asia,Bangladesh,male,1156,1301,-11.1
869,2018-10-01,Asia,Bangladesh,female,114,107,6.5
872,2018-11-01,Asia,Bangladesh,male,917,820,11.8
873,2018-11-01,Asia,Bangladesh,female,132,64,106.2
876,2018-12-01,Asia,Bangladesh,male,922,1046,-11.9
877,2018-12-01,Asia,Bangladesh,female,98,83,18.1
880,2019-01-01,Asia,Bangladesh,male,897,909,-1.3
881,2019-01-01,Asia,Bangladesh,female,57,104,-45.2
884,2019-02-01,Asia,Bangladesh,male,1198,991,20.9
885,2019-02-01,Asia,Bangladesh,female,163,123,32.5
888,2019-03-01,Asia,Bangladesh,male,1353,1227,10.3
889,2019-03-01,Asia,Bangladesh,female,120,97,23.7
892,2019-04-01,Asia,Bangladesh,male,948,994,-4.6
893,2019-04-01,Asia,Bangladesh,female,103,119,-13.4
896,2019-05-01,Asia,Bangladesh,male,865,855,1.2
897,2019-05-01,Asia,Bangladesh,female,116,125,-7.2
900,2019-06-01,Asia,Bangladesh,male,928,958,-3.1
901,2019-06-01,Asia,Bangladesh,female,118,113,4.4
904,2019-07-01,Asia,Bangladesh,male,867,957,-9.4
905,2019-07-01,Asia,Bangladesh,female,142,171,-17.0
908,2019-08-01,Asia,Bangladesh,male,1438,1067,34.8
909,2019-08-01,Asia,Bangladesh,female,221,155,42.6
912,2019-09-01,Asia,Bangladesh,male,1576,1289,22.3
913,2019-09-01,Asia,Bangladesh,female,138,137,0.7
916,2019-10-01,Asia,Bangladesh,male,1121,1156,-3.0
917,2019-10-01,Asia,Bangladesh,female,144,114,26.3
920,2019-11-01,Asia,Bangladesh,male,898,917,-2.1
921,2019-11-01,Asia,Bangladesh,female,114,132,-13.6
924,2019-12-01,Asia,Bangladesh,male,1224,922,32.8
925,2019-12-01,Asia,Bangladesh,female,119,98,21.4
928,2020-01-01,Asia,Bangladesh,male,966,897,7.7
929,2020-01-01,Asia,Bangladesh,female,124,57,117.5
932,2020-02-01,Asia,Bangladesh,male,851,1198,-29.0
933,2020-02-01,Asia,Bangladesh,female,103,163,-36.8
936,2020-03-01,Asia,Bangladesh,male,494,1353,-63.5
937,2020-03-01,Asia,Bangladesh,female,38,120,-68.3
940,2020-04-01,Asia,Bangladesh,male,2,948,-99.8
941,2020-04-01,Asia,Bangladesh,female,0,103,-100.0
944,2020-05-01,Asia,Bangladesh,male,161,865,-81.4
945,2020-05-01,Asia,Bangladesh,female,9,116,-92.2
948,2020-06-01,Asia,Bangladesh,male,132,928,-85.8
949,2020-06-01,Asia,Bangladesh,female,8,118,-93.2
952,2020-07-01,Asia,Bangladesh,male,111,867,-87.2
953,2020-07-01,Asia,Bangladesh,female,3,142,-97.9
956,2020-08-01,Asia,Bangladesh,male,122,1438,-91.5
